code,desc
A00,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A00,"Cholera due to Vibrio cholerae 01, biovar eltor"
A00,"Cholera, unspecified"
A01,Typhoid fever
A01,Paratyphoid fever A
A01,Paratyphoid fever B
A01,Paratyphoid fever C
A01,"Paratyphoid fever, unspecified"
A02,Salmonella enteritis
A02,Salmonella sepsis
A02,Localized salmonella infections
A02,Other specified salmonella infections
A02,"Salmonella infection, unspecified"
A03,Shigellosis due to Shigella dysenteriae
A03,Shigellosis due to Shigella flexneri
A03,Shigellosis due to Shigella boydii
A03,Shigellosis due to Shigella sonnei
A03,Other shigellosis
A03,"Shigellosis, unspecified"
A04,Enteropathogenic Escherichia coli infection
A04,Enterotoxigenic Escherichia coli infection
A04,Enteroinvasive Escherichia coli infection
A04,Enterohaemorrhagic Escherichia coli infection
A04,Other intestinal Escherichia coli infections
A04,Campylobacter enteritis
A04,Enteritis due to Yersinia enterocolitica
A04,Enterocolitis due to Clostridium difficile
A04,Other specified bacterial intestinal infections
A04,"Bacterial intestinal infection, unspecified"
A05,Foodborne staphylococcal intoxication
A05,Botulism
A05,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05,Foodborne Vibrio parahaemolyticus intoxication
A05,Foodborne Bacillus cereus intoxication
A05,Other specified bacterial foodborne intoxications
A05,"Bacterial foodborne intoxication, unspecified"
A06,Acute amoebic dysentery
A06,Chronic intestinal amoebiasis
A06,Amoebic nondysenteric colitis
A06,Amoeboma of intestine
A06,Amoebic liver abscess
A06,Amoebic lung abscess
A06,Amoebic brain abscess
A06,Cutaneous amoebiasis
A06,Amoebic infection of other sites
A06,"Amoebiasis, unspecified"
A07,Balantidiasis
A07,Giardiasis [lambliasis]
A07,Cryptosporidiosis
A07,Isosporiasis
A07,Other specified protozoal intestinal diseases
A07,"Protozoal intestinal disease, unspecified"
A08,Rotaviral enteritis
A08,Acute gastroenteropathy due to Norwalk agent
A08,Adenoviral enteritis
A08,Other viral enteritis
A08,"Viral intestinal infection, unspecified"
A08,Other specified intestinal infections
A09,Other and unspecified gastroenteritis and colitis of infectious origin
A09,Gastroenteritis and colitis of unspecified origin
A15,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
