code,desc
A0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A0,"Cholera due to Vibrio cholerae 01, biovar eltor"
A0,"Cholera, unspecified"
A0,Typhoid fever
A0,Paratyphoid fever A
A0,Paratyphoid fever B
A0,Paratyphoid fever C
A0,"Paratyphoid fever, unspecified"
A0,Salmonella enteritis
A0,Salmonella sepsis
A0,Localized salmonella infections
A0,Other specified salmonella infections
A0,"Salmonella infection, unspecified"
A0,Shigellosis due to Shigella dysenteriae
A0,Shigellosis due to Shigella flexneri
A0,Shigellosis due to Shigella boydii
A0,Shigellosis due to Shigella sonnei
A0,Other shigellosis
A0,"Shigellosis, unspecified"
A0,Enteropathogenic Escherichia coli infection
A0,Enterotoxigenic Escherichia coli infection
A0,Enteroinvasive Escherichia coli infection
A0,Enterohaemorrhagic Escherichia coli infection
A0,Other intestinal Escherichia coli infections
A0,Campylobacter enteritis
A0,Enteritis due to Yersinia enterocolitica
A0,Enterocolitis due to Clostridium difficile
A0,Other specified bacterial intestinal infections
A0,"Bacterial intestinal infection, unspecified"
A0,Foodborne staphylococcal intoxication
A0,Botulism
A0,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A0,Foodborne Vibrio parahaemolyticus intoxication
A0,Foodborne Bacillus cereus intoxication
A0,Other specified bacterial foodborne intoxications
A0,"Bacterial foodborne intoxication, unspecified"
A0,Acute amoebic dysentery
A0,Chronic intestinal amoebiasis
A0,Amoebic nondysenteric colitis
A0,Amoeboma of intestine
A0,Amoebic liver abscess
A0,Amoebic lung abscess
A0,Amoebic brain abscess
A0,Cutaneous amoebiasis
A0,Amoebic infection of other sites
A0,"Amoebiasis, unspecified"
A0,Balantidiasis
A0,Giardiasis [lambliasis]
A0,Cryptosporidiosis
A0,Isosporiasis
A0,Other specified protozoal intestinal diseases
A0,"Protozoal intestinal disease, unspecified"
A0,Rotaviral enteritis
A0,Acute gastroenteropathy due to Norwalk agent
A0,Adenoviral enteritis
A0,Other viral enteritis
A0,"Viral intestinal infection, unspecified"
A0,Other specified intestinal infections
A0,Other and unspecified gastroenteritis and colitis of infectious origin
A0,Gastroenteritis and colitis of unspecified origin
A1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A1,"Tuberculosis of lung, confirmed by culture only"
A1,"Tuberculosis of lung, confirmed histologically"
A1,"Tuberculosis of lung, confirmed by unspecified means"
A1,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A1,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A1,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A1,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A1,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A1,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A1,"Tuberculosis of lung, bacteriologically and histologically negative"
A1,"Tuberculosis of lung, bacteriological and histological examination not done"
A1,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A1,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A1,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A1,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A1,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A1,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A1,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A1,Tuberculous meningitis
A1,Meningeal tuberculoma
A1,Other tuberculosis of nervous system
A1,"Tuberculosis of nervous system, unspecified"
A1,Tuberculosis of bones and joints
A1,Tuberculosis of genitourinary system
A1,Tuberculous peripheral lymphadenopathy
A1,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A1,Tuberculosis of skin and subcutaneous tissue
A1,Tuberculosis of eye
A1,Tuberculosis of ear
A1,Tuberculosis of adrenal glands
A1,Tuberculosis of other specified organs
A1,Acute miliary tuberculosis of a single specified site
A1,Acute miliary tuberculosis of multiple sites
A1,"Acute miliary tuberculosis, unspecified"
A1,Other miliary tuberculosis
A1,"Miliary tuberculosis, unspecified"
A2,Bubonic plague
A2,Cellulocutaneous plague
A2,Pneumonic plague
A2,Plague meningitis
A2,Septicaemic plague
A2,Other forms of plague
A2,"Plague, unspecified"
A2,Ulceroglandular tularaemia
A2,Oculoglandular tularaemia
A2,Pulmonary tularaemia
A2,Gastrointestinal tularaemia
A2,Generalized tularaemia
A2,Other forms of tularaemia
A2,"Tularaemia, unspecified"
A2,Cutaneous anthrax
A2,Pulmonary anthrax
A2,Gastrointestinal anthrax
A2,Anthrax sepsis
A2,Other forms of anthrax
A2,"Anthrax, unspecified"
A2,Brucellosis due to Brucella melitensis
A2,Brucellosis due to Brucella abortus
A2,Brucellosis due to Brucella suis
A2,Brucellosis due to Brucella canis
A2,Other brucellosis
A2,"Brucellosis, unspecified"
A2,Glanders
A2,Acute and fulminating melioidosis
A2,Subacute and chronic melioidosis
A2,Other melioidosis
A2,"Melioidosis, unspecified"
A2,Spirillosis
A2,Streptobacillosis
A2,"Rat-bite fever, unspecified"
A2,Cutaneous erysipeloid
A2,Erysipelothrix sepsis
A2,Other forms of erysipeloid
A2,"Erysipeloid, unspecified"
A2,Leptospirosis icterohaemorrhagica
A2,Other forms of leptospirosis
A2,"Leptospirosis, unspecified"
A2,Pasteurellosis
A2,Cat-scratch disease
A2,Extraintestinal yersiniosis
A2,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A2,"Zoonotic bacterial disease, unspecified"
A3,Indeterminate leprosy
A3,Tuberculoid leprosy
A3,Borderline tuberculoid leprosy
A3,Borderline leprosy
A3,Borderline lepromatous leprosy
A3,Lepromatous leprosy
A3,Other forms of leprosy
A3,"Leprosy, unspecified"
A3,Pulmonary mycobacterial infection
A3,Cutaneous mycobacterial infection
A3,Other mycobacterial infections
A3,"Mycobacterial infection, unspecified"
A3,Cutaneous listeriosis
A3,Listerial meningitis and meningoencephalitis
A3,Listerial sepsis
A3,Other forms of listeriosis
A3,"Listeriosis, unspecified"
A3,Tetanus neonatorum
A3,Obstetrical tetanus
A3,Other tetanus
A3,Pharyngeal diphtheria
A3,Nasopharyngeal diphtheria
A3,Laryngeal diphtheria
A3,Cutaneous diphtheria
A3,Other diphtheria
A3,"Diphtheria, unspecified"
A3,Whooping cough due to Bordetella pertussis
A3,Whooping cough due to Bordetella parapertussis
A3,Whooping cough due to other Bordetella species
A3,"Whooping cough, unspecified"
A3,Scarlet fever
A3,Meningococcal meningitis
A3,Waterhouse-Friderichsen syndrome
A3,Acute meningococcaemia
A3,Chronic meningococcaemia
A3,"Meningococcaemia, unspecified"
A3,Meningococcal heart disease
A3,Other meningococcal infections
A3,"Meningococcal infection, unspecified"
A4,"Sepsis due to streptococcus, group A"
A4,"Sepsis due to streptococcus, group B"
A4,"Sepsis due to streptococcus, group D"
A4,Sepsis due to Streptococcus pneumoniae
A4,Other streptococcal sepsis
A4,"Streptococcal sepsis, unspecified"
A4,Sepsis due to Staphylococcus aureus
A4,Sepsis due to other specified staphylococcus
A4,Sepsis due to unspecified staphylococcus
A4,Sepsis due to Haemophilus influenzae
A4,Sepsis due to anaerobes
A4,Sepsis due to other Gram-negative organisms
A4,Other specified sepsis
A4,"Sepsis, unspecified"
A4,Pulmonary actinomycosis
A4,Abdominal actinomycosis
A4,Cervicofacial actinomycosis
A4,Actinomycotic sepsis
A4,Other forms of actinomycosis
A4,"Actinomycosis, unspecified"
A4,Pulmonary nocardiosis
A4,Cutaneous nocardiosis
A4,Other forms of nocardiosis
A4,"Nocardiosis, unspecified"
A4,Systemic bartonellosis
A4,Cutaneous and mucocutaneous bartonellosis
A4,Other forms of bartonellosis
A4,"Bartonellosis, unspecified"
A4,Erysipelas
A4,Gas gangrene
A4,Legionnaires disease
A4,Nonpneumonic Legionnaires disease [Pontiac fever]
A4,Toxic shock syndrome
A4,Brazilian purpuric fever
A4,Other specified bacterial diseases
A4,"Staphylococcal infection, unspecified site"
A4,"Streptococcal and enterococcal infection, unspecified site"
A4,"Haemophilus influenzae infection, unspecified site"
A4,"Mycoplasma infection, unspecified site"
A4,Other bacterial infections of unspecified site
A4,"Bacterial infection, unspecified"
A5,"Early congenital syphilis, symptomatic"
A5,"Early congenital syphilis, latent"
A5,"Early congenital syphilis, unspecified"
A5,Late congenital syphilitic oculopathy
A5,Late congenital neurosyphilis [juvenile neurosyphilis]
A5,"Other late congenital syphilis, symptomatic"
A5,"Late congenital syphilis, latent"
A5,"Late congenital syphilis, unspecified"
A5,"Congenital syphilis, unspecified"
A5,Primary genital syphilis
A5,Primary anal syphilis
A5,Primary syphilis of other sites
A5,Secondary syphilis of skin and mucous membranes
A5,Other secondary syphilis
A5,"Early syphilis, latent"
A5,"Early syphilis, unspecified"
A5,Cardiovascular syphilis
A5,Symptomatic neurosyphilis
A5,Asymptomatic neurosyphilis
A5,"Neurosyphilis, unspecified"
A5,Other symptomatic late syphilis
A5,"Late syphilis, latent"
A5,"Late syphilis, unspecified"
A5,"Latent syphilis, unspecified as early or late"
A5,"Syphilis, unspecified"
A5,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A5,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A5,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A5,Gonococcal infection of eye
A5,Gonococcal infection of musculoskeletal system
A5,Gonococcal pharyngitis
A5,Gonococcal infection of anus and rectum
A5,Other gonococcal infections
A5,"Gonococcal infection, unspecified"
